model_name,model_id,checkpoint_id,modality,paper_url,publication_venue,impact_factor,impact_factor_year,impact_factor_source_url,official_code_url,official_weight_page,download_url,filename,size_bytes,size_display,sha256,access_method,license_summary,download_enabled,status,skip_reason
DERETFound,deretfound,deretfound-pretraining,CFP,https://www.nature.com/articles/s41551-025-01365-0,Nature Biomedical Engineering,26.3,2025,https://www.nature.com/natbiomedeng/journal-impact,https://github.com/Jonlysun/DERETFound,https://zenodo.org/records/13340936/files/PreTraining.zip,https://zenodo.org/records/13340936/files/PreTraining.zip,PreTraining.zip,3656207114,3.66 GB,b6b3e92dde5409b18e3dbc6118c6f4d0216545f62cd0a2241f5d20593aafe361,从官方 zenodo 页面下载,代码仓库存在许可证，但权重是否适用同一许可尚未明确。,true,downloaded_verified,
DERETFound,deretfound,deretfound-sd-retina,CFP,https://www.nature.com/articles/s41551-025-01365-0,Nature Biomedical Engineering,26.3,2025,https://www.nature.com/natbiomedeng/journal-impact,https://github.com/Jonlysun/DERETFound,https://zenodo.org/records/13340936/files/sd-retina-model.zip,https://zenodo.org/records/13340936/files/sd-retina-model.zip,sd-retina-model.zip,3192837063,3.19 GB,df65ab9852adbd06bb223ad09f3df4bec07261c4727ebabc6bb9d7ad09ae89e3,从官方 zenodo 页面下载,代码仓库存在许可证，但权重是否适用同一许可尚未明确。,true,downloaded_verified,
EyeCLIP,eyeclip,eyeclip-default,CFP;OCT;FFA;ICGA;FAF;ultrasound;external_eye;slit_lamp;specular_microscopy;CT;RetCam;text,https://www.nature.com/articles/s41746-025-01772-2,NPJ Digital Medicine,18.0,2025,https://www.nature.com/npjdigitalmed/journal-impact,https://github.com/Michi-3000/EyeCLIP,https://drive.google.com/file/d/1kWpbDqFCFt4j8RkYqacV4nl-aCKZfqZr/view,https://drive.google.com/file/d/1kWpbDqFCFt4j8RkYqacV4nl-aCKZfqZr/view,eyeclip.pt,2142213487,2.14 GB,dfb6990aa31d55e6eee23f5b79d4b170d86af9d0f533fedaa805f0cdb5d686d4,从官方 google_drive 页面下载,官方入口未明确声明权重许可证；限内部研究使用并需自行复核。,true,downloaded_verified,
FLAIR,flair,flair-default,CFP;text,https://doi.org/10.1016/j.media.2024.103357,Medical Image Analysis,尚未核验,,,https://github.com/jusiro/FLAIR,https://huggingface.co/jusiro2/FLAIR,https://huggingface.co/jusiro2/FLAIR,model.safetensors,533319044,533.32 MB,050334cd934fa3126435c202c41f493ca222fc3fe3ea9c50cf21f67c792a1440,从官方 huggingface 页面下载,官方声明代码与权重采用 Apache-2.0；使用前仍应保留许可与来源说明。,true,downloaded_verified,
FMUE,fmue,fmue-default,OCT,https://doi.org/10.1016/j.xcrm.2024.101876,Cell Reports Medicine,尚未核验,,,https://github.com/yuanyuanpeng0129/FMUE,https://drive.google.com/file/d/1-rdx6VPJNWVwkjamkplEoyUOHNGweUho/view,https://drive.google.com/file/d/1-rdx6VPJNWVwkjamkplEoyUOHNGweUho/view,FMUE.pth,1218388127,1.22 GB,ece65c8da05bf89c0666c00e01ee4073ec65c90c47802dcfce5d0fba97152477,从官方 google_drive 页面下载,官方入口未明确声明权重许可证；限内部研究使用并需自行复核。,true,downloaded_verified,
KeepFIT,keepfit,keepfit-ffa-ir-mmretinal-ffa,FFA,https://link.springer.com/chapter/10.1007/978-3-031-72378-0_67,MICCAI,不适用,,,https://github.com/lxirich/MM-Retinal,https://drive.google.com/file/d/1fdCRDbKJKZcqBlmdEdETygZ8EsBu5QlV/view,https://drive.google.com/file/d/1fdCRDbKJKZcqBlmdEdETygZ8EsBu5QlV/view,KeepFIT (FFA-IR+MM).pth,537658158,537.66 MB,ca6610998a1625a96fed21bfb453a58b41f4cc42d2e23116d60b166211f2ecfd,从官方 google_drive 页面下载,官方入口未明确声明权重许可证；限内部研究使用并需自行复核。,true,downloaded_verified,
KeepFIT,keepfit,keepfit-flair-mmretinal-cfp,CFP,https://link.springer.com/chapter/10.1007/978-3-031-72378-0_67,MICCAI,不适用,,,https://github.com/lxirich/MM-Retinal,https://drive.google.com/file/d/1w6poCkZeqSTHsLYz1R9-z5Ttc0Vw0qSw/view,https://drive.google.com/file/d/1w6poCkZeqSTHsLYz1R9-z5Ttc0Vw0qSw/view,KeepFIT (flair+MM).pth,537658685,537.66 MB,500904a3cae65f813c74ad9b87c2305c7b375c899fd064fc548c6b1f0e7104c9,从官方 google_drive 页面下载,官方入口未明确声明权重许可证；限内部研究使用并需自行复核。,true,downloaded_verified,
KeepFIT,keepfit,keepfit-half-flair-mmretinal-cfp,CFP,https://link.springer.com/chapter/10.1007/978-3-031-72378-0_67,MICCAI,不适用,,,https://github.com/lxirich/MM-Retinal,https://drive.google.com/file/d/1o4EDSifmcN7cKDP5w5qvS_wWiyfEZ6UN/view,https://drive.google.com/file/d/1o4EDSifmcN7cKDP5w5qvS_wWiyfEZ6UN/view,KeepFIT (50%flair+MM).pth,537658685,537.66 MB,12e7fd11f9572f63332c8a3c6e00786d670df02258ee9d5c50a8a311bb70345c,从官方 google_drive 页面下载,官方入口未明确声明权重许可证；限内部研究使用并需自行复核。,true,downloaded_verified,
MIRAGE,mirage,mirage-base,OCT;SLO,https://www.nature.com/articles/s41746-025-01852-3,npj Digital Medicine,18.0,2025,https://www.nature.com/npjdigitalmed/journal-impact,https://github.com/j-morano/MIRAGE,https://huggingface.co/j-morano/MIRAGE-Base,https://huggingface.co/j-morano/MIRAGE-Base,model.safetensors,348106560,348.11 MB,bdb3ad174fd8106f32e692446479966ebf095fa8f9a523f9b29185ed0136c339,从官方 huggingface 页面下载,官方声明模型与代码采用 CC BY 4.0，使用时需署名。,true,downloaded_verified,
MIRAGE,mirage,mirage-large,OCT;SLO,https://www.nature.com/articles/s41746-025-01852-3,npj Digital Medicine,18.0,2025,https://www.nature.com/npjdigitalmed/journal-impact,https://github.com/j-morano/MIRAGE,https://huggingface.co/j-morano/MIRAGE-Large,https://huggingface.co/j-morano/MIRAGE-Large,model.safetensors,1219765784,1.22 GB,22c7da599f82a8d6a252c9df61e43dff22af06a9196a56879a0080cec9f5894c,从官方 huggingface 页面下载,官方声明模型与代码采用 CC BY 4.0，使用时需署名。,true,downloaded_verified,
